Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
18,train,0.1879178561641629,0.9149832873128906,0.921769709012786,0.915007927734135
18,val,0.2866945356996228,0.8724066390041494,0.8788907832783229,0.8716880165405899
18,test,0.2788204966021366,0.8698770491803278,0.8749733647953006,0.8692873390543663
19,train,0.1877167710422378,0.9145473041709054,0.9214119764583126,0.9145533349486444
19,val,0.2923598445302718,0.8661825726141079,0.8735302170159958,0.8658442850193123
19,test,0.27152276820823795,0.8673155737704918,0.8733933674349854,0.8673186534845663
20,train,0.1837725034244808,0.9123673884609795,0.9193244998101366,0.9124051461400129
20,val,0.28505118283988035,0.8651452282157677,0.8731268697928464,0.8645693025289888
20,test,0.2789171880385915,0.8662909836065574,0.8721660308631835,0.8659924364716639
21,train,0.1776201096627969,0.9191977910187473,0.9256139090360257,0.9192280293447258
21,val,0.29076707140538705,0.8703319502074689,0.8774588624466082,0.8699464126884482
21,test,0.28145583877797986,0.8703893442622951,0.8757441568048534,0.8700679664172042
22,train,0.17709677404069119,0.9171632030228164,0.923798267263035,0.9171842116992971
22,val,0.28848030866429025,0.8692946058091287,0.8762407224935169,0.8690372185630805
22,test,0.2857431290579624,0.8673155737704918,0.8727958738227815,0.8669467193037012
23,train,0.18042642444419818,0.9155645981688708,0.9223600339357703,0.9155809804792642
23,val,0.29653458773347846,0.8578838174273858,0.8654923956941369,0.8559613782369757
23,test,0.2803854624756047,0.867827868852459,0.873005492466268,0.8666407343380932
24,train,0.17231759631673604,0.9202150850167127,0.9266101603371926,0.9202607556382648
24,val,0.29132945099806884,0.8641078838174274,0.8718123368937805,0.8637307929332767
24,test,0.2810821855654482,0.8709016393442623,0.8766283447987917,0.870598186304956
25,train,0.16431948277747938,0.9253015550065398,0.9312765055996112,0.9253276026740018
25,val,0.2923264779243232,0.8713692946058091,0.8786561318387612,0.8710265297578107
25,test,0.2803505654217767,0.8709016393442623,0.8763606511714805,0.8703705803253169
26,train,0.167876251651492,0.9219590175846534,0.9282984400874733,0.9219984839810119
26,val,0.3056658197240711,0.8786307053941909,0.8827880504076031,0.8762550727281018
