percentage,metric,value
30,loss,0.8466707085794019
30,accuracy,0.7935171005615109
30,f1_score,0.7635830979449358
30,confusion_matrix,"[[5.89189189e-01 1.45045045e-01 9.00900901e-04 2.70270270e-03
  2.18018018e-01 4.41441441e-02]
 [1.79545455e-01 6.19696970e-01 7.57575758e-04 1.13636364e-02
  1.86363636e-01 2.27272727e-03]
 [1.37033231e-03 3.76841384e-03 9.47927372e-01 4.62487153e-02
  3.42583076e-04 3.42583076e-04]
 [1.20336943e-03 3.61010830e-03 2.53509828e-01 7.40874448e-01
  8.02246290e-04 0.00000000e+00]
 [7.66187050e-02 7.01438849e-02 0.00000000e+00 3.59712230e-03
  8.20143885e-01 2.94964029e-02]
 [8.48056537e-02 2.29681979e-02 0.00000000e+00 8.83392226e-04
  4.24028269e-02 8.48939929e-01]]"
