percentage,metric,value
10,loss,0.6913456985064869
10,accuracy,0.747915603198911
10,f1_score,0.7120829833202956
10,confusion_matrix,"[[4.60360360e-01 1.72972973e-01 1.80180180e-03 2.70270270e-03
  3.13513514e-01 4.86486486e-02]
 [1.17424242e-01 5.65909091e-01 0.00000000e+00 8.33333333e-03
  2.91666667e-01 1.66666667e-02]
 [1.02774923e-03 3.76841384e-03 9.68139774e-01 2.60363138e-02
  6.85166153e-04 3.42583076e-04]
 [8.02246290e-04 3.61010830e-03 3.22503008e-01 6.72282391e-01
  8.02246290e-04 0.00000000e+00]
 [6.90647482e-02 1.22661871e-01 0.00000000e+00 4.31654676e-03
  7.38129496e-01 6.58273381e-02]
 [3.18021201e-02 1.50176678e-02 0.00000000e+00 1.76678445e-03
  8.65724382e-02 8.64840989e-01]]"
