percentage,metric,value
70,loss,0.5587563483898039
70,accuracy,0.9104985536838524
70,f1_score,0.9038066032127631
70,confusion_matrix,"[[9.19819820e-01 3.60360360e-02 0.00000000e+00 2.70270270e-03
  3.06306306e-02 1.08108108e-02]
 [3.33333333e-02 9.12121212e-01 3.03030303e-03 1.13636364e-02
  3.86363636e-02 1.51515152e-03]
 [0.00000000e+00 0.00000000e+00 9.43131209e-01 5.51558753e-02
  1.37033231e-03 3.42583076e-04]
 [0.00000000e+00 4.01123145e-04 5.89651023e-02 9.39029282e-01
  1.60449258e-03 0.00000000e+00]
 [1.83453237e-02 1.21942446e-01 3.59712230e-04 1.43884892e-03
  8.56834532e-01 1.07913669e-03]
 [3.00353357e-02 7.68551237e-02 1.76678445e-03 0.00000000e+00
  7.06713781e-03 8.84275618e-01]]"
