percentage,metric,value
60,loss,0.5214765518158383
60,accuracy,0.9150927343882933
60,f1_score,0.9098830747586698
60,confusion_matrix,"[[9.43243243e-01 1.62162162e-02 0.00000000e+00 3.60360360e-03
  3.24324324e-02 4.50450450e-03]
 [2.50000000e-02 9.19696970e-01 7.57575758e-04 9.09090909e-03
  4.24242424e-02 3.03030303e-03]
 [6.85166153e-04 6.85166153e-04 9.61288112e-01 3.63138061e-02
  6.85166153e-04 3.42583076e-04]
 [4.01123145e-04 0.00000000e+00 7.66145207e-02 9.18973125e-01
  4.01123145e-03 0.00000000e+00]
 [2.37410072e-02 1.16906475e-01 0.00000000e+00 1.07913669e-03
  8.56115108e-01 2.15827338e-03]
 [3.88692580e-02 5.65371025e-02 8.83392226e-04 8.83392226e-04
  3.53356890e-03 8.99293286e-01]]"
