percentage,metric,value
30,loss,0.5099770642699658
30,accuracy,0.9168793602177981
30,f1_score,0.9089251087303626
30,confusion_matrix,"[[9.32432432e-01 1.35135135e-02 0.00000000e+00 3.60360360e-03
  4.14414414e-02 9.00900901e-03]
 [3.40909091e-02 8.92424242e-01 2.27272727e-03 5.30303030e-03
  6.36363636e-02 2.27272727e-03]
 [1.02774923e-03 3.42583076e-04 9.51010620e-01 4.59061322e-02
  1.37033231e-03 3.42583076e-04]
 [8.02246290e-04 0.00000000e+00 6.05695949e-02 9.32611312e-01
  4.81347774e-03 1.20336943e-03]
 [2.15827338e-02 9.02877698e-02 3.59712230e-04 1.07913669e-03
  8.85611511e-01 1.07913669e-03]
 [7.59717314e-02 2.82685512e-02 8.83392226e-04 0.00000000e+00
  1.06007067e-02 8.84275618e-01]]"
