percentage,metric,value
90,loss,0.5726911116335005
90,accuracy,0.8036413135953718
90,f1_score,0.7734912092591933
90,confusion_matrix,"[[5.43243243e-01 1.27927928e-01 0.00000000e+00 3.60360360e-03
  2.90090090e-01 3.51351351e-02]
 [1.14393939e-01 6.71212121e-01 1.51515152e-03 1.13636364e-02
  2.00757576e-01 7.57575758e-04]
 [1.02774923e-03 3.76841384e-03 9.54436451e-01 4.00822199e-02
  3.42583076e-04 3.42583076e-04]
 [1.60449258e-03 1.60449258e-03 2.21419976e-01 7.74568793e-01
  8.02246290e-04 0.00000000e+00]
 [6.43884892e-02 7.76978417e-02 0.00000000e+00 2.87769784e-03
  8.37769784e-01 1.72661871e-02]
 [4.32862191e-02 3.00353357e-02 8.83392226e-04 8.83392226e-04
  1.20141343e-01 8.04770318e-01]]"
