percentage,metric,value
90,loss,0.5318329456136783
90,accuracy,0.9163688956950825
90,f1_score,0.9102849523522015
90,confusion_matrix,"[[9.39639640e-01 2.16216216e-02 0.00000000e+00 2.70270270e-03
  3.15315315e-02 4.50450450e-03]
 [1.51515152e-02 9.25000000e-01 7.57575758e-04 1.28787879e-02
  4.31818182e-02 3.03030303e-03]
 [0.00000000e+00 3.42583076e-04 9.53408702e-01 4.45357999e-02
  1.37033231e-03 3.42583076e-04]
 [4.01123145e-04 0.00000000e+00 4.77336542e-02 9.49458484e-01
  2.40673887e-03 0.00000000e+00]
 [1.94244604e-02 1.30215827e-01 3.59712230e-04 1.43884892e-03
  8.48201439e-01 3.59712230e-04]
 [3.44522968e-02 7.68551237e-02 8.83392226e-04 0.00000000e+00
  5.30035336e-03 8.82508834e-01]]"
