Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.06027641103635565,0.9793094852299639,0.9810739066441932,0.979308035379476,43
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,1.087706571496943,0.7709677419354839,0.7292872460507215,0.7745206564712154,43
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,0.4021697239431357,0.8949383241173968,0.8701578250768395,0.8928668029434657,43
uci,uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.23779218444564698,0.8869350385118442,0.8957446577807309,0.8869266912043436,16
uci,uci_k_28_lr_0.0005_bs_64.pkl_result,val,0.2983945083816022,0.8661825726141079,0.8735382390464883,0.8659629276199311,16
uci,uci_k_28_lr_0.0005_bs_64.pkl_result,test,0.2840480828871492,0.850922131147541,0.8559299983547779,0.8495638468709531,16
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.4523609801003215,0.7976442727159416,0.8138692095729381,0.7964872055291929,138
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,0.6849628120340326,0.7247311827956989,0.7104132039568886,0.7273382879763041,138
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,0.49323090279624593,0.7958315610378562,0.8080866976578317,0.7962830694596892,138
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.3615668988494488,0.8927986906710311,0.8919750101053708,0.8932429063790552,1
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,0.9630578370043233,0.6480464459438255,0.63491723015946,0.6453361137278817,1
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,0.85077070239064,0.7051636698939604,0.6958863247428283,0.6956907423586098,1
wisdm,uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.23227238092074165,0.8952592202714388,0.8952033743499939,0.8952197462426382,46
wisdm,uci_k_28_lr_0.0005_bs_64.pkl_result,val,0.7763697892749015,0.7445179255134007,0.7419626164941103,0.7420237031314495,46
wisdm,uci_k_28_lr_0.0005_bs_64.pkl_result,test,1.0921094012646295,0.6947781008977114,0.6907993007115313,0.6908449562427964,46
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.40582564485364847,0.8139027782999361,0.8136426870141035,0.8136664316820788,77
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,0.5436938682624864,0.7567003132613992,0.7588917000841342,0.758927510337886,77
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,0.662403135937857,0.7341003919585283,0.732060012785697,0.7320878730103734,77
uci,wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.10623389893844713,0.9489899723877343,0.9531117071519143,0.9490010941319212,112
uci,wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,0.39414029645721943,0.8858921161825726,0.8912490731253703,0.885165769097531,112
uci,wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,0.3556273301116756,0.8760245901639344,0.8799621901584158,0.8757467155179066,112
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.6491929618351666,0.725137893450474,0.7288080533820721,0.7295042467531682,67
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,0.7431359230971376,0.6872938589602638,0.6953216848519963,0.6974227050338929,67
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,0.6354268163112292,0.7542331288343558,0.7504527824416218,0.7554681134643011,67
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.24716656985532634,0.9190875613747954,0.9188083046751222,0.9193831325942124,13
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,1.72803878662361,0.68193943197866,0.6822223415319018,0.6771495860882348,13
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,1.4450415158502623,0.5880590133702167,0.5749543805928942,0.5722914141935656,13
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.13121318567331097,0.9503303003863891,0.9566228617726762,0.9503289059668307,17
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,0.6175140214222734,0.8451612903225807,0.8118798343257025,0.8426169615760999,17
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,0.26349706234258286,0.9091875797532964,0.9069895045978154,0.9099360429685126,17
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.519526326861202,0.8108292416803055,0.8130210635125475,0.8146446326019497,125
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,1.130348566991038,0.6486740938333595,0.6496350517159556,0.6485681527738083,125
