percentage,metric,value
10,loss,0.5954968937818799
10,accuracy,0.8190722151837053
10,f1_score,0.7791840210057667
10,confusion_matrix,"[[6.44116246e-01 1.63411148e-01 9.09957122e-02 4.76417342e-04
  2.38208671e-03 9.52834683e-02 9.52834683e-04 9.52834683e-04
  9.52834683e-04 4.76417342e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.01573677e-01 6.97663329e-01 4.95946590e-02 9.53743443e-04
  4.76871722e-04 1.49737721e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.20197044e-02 8.86699507e-03 8.30049261e-01 5.07389163e-02
  1.97044335e-02 3.59605911e-02 1.42857143e-02 1.47783251e-03
  0.00000000e+00 0.00000000e+00 5.91133005e-03 4.92610837e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  4.92610837e-04 0.00000000e+00]
 [9.07029478e-04 0.00000000e+00 9.97732426e-03 8.75736961e-01
  1.54195011e-02 0.00000000e+00 1.58730159e-02 1.99546485e-02
  0.00000000e+00 4.53514739e-04 0.00000000e+00 5.89569161e-03
  9.07029478e-03 1.76870748e-02 0.00000000e+00 9.97732426e-03
  1.81405896e-02 9.07029478e-04]
 [4.32180851e-03 0.00000000e+00 9.30851064e-03 8.64361702e-03
  9.46808511e-01 3.32446809e-04 8.97606383e-03 6.98138298e-03
  9.97340426e-04 2.32712766e-03 9.97340426e-03 3.32446809e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  9.97340426e-04 0.00000000e+00]
 [5.26561044e-02 1.50046598e-01 2.56290774e-02 4.65983225e-04
  5.12581547e-03 7.65144455e-01 9.31966449e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.12866817e-03 5.64334086e-04 1.80586907e-02 2.03160271e-02
  1.18510158e-02 1.69300226e-03 9.11399549e-01 2.59593679e-02
  0.00000000e+00 0.00000000e+00 5.64334086e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 2.82167043e-03
  5.64334086e-04 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.00842359e-02
  1.80505415e-02 0.00000000e+00 5.23465704e-02 8.65824308e-01
  0.00000000e+00 8.42358604e-03 5.41516245e-03 6.01684717e-04
  4.21179302e-03 0.00000000e+00 1.20336943e-03 1.14320096e-02
  2.40673887e-03 0.00000000e+00]
 [1.58478605e-03 0.00000000e+00 0.00000000e+00 6.33914422e-03
  7.92393027e-03 0.00000000e+00 4.75435816e-03 9.50871632e-03
  9.65134707e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.58478605e-03 0.00000000e+00 3.16957211e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.81679389e-03
  3.05343511e-02 0.00000000e+00 1.90839695e-02 1.41221374e-01
  2.29007634e-02 7.63358779e-01 3.81679389e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.14503817e-02 0.00000000e+00
  0.00000000e+00 3.81679389e-03]
 [0.00000000e+00 0.00000000e+00 2.23546945e-02 0.00000000e+00
  5.06706408e-02 5.96125186e-03 1.16244411e-01 1.04321908e-02
  0.00000000e+00 1.34128167e-02 7.79433681e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.49031297e-03
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.13592233e-02
  0.00000000e+00 1.94174757e-03 0.00000000e+00 5.82524272e-03
  1.94174757e-03 0.00000000e+00 1.94174757e-03 7.92233010e-01
  0.00000000e+00 1.74757282e-02 0.00000000e+00 1.22330097e-01
  3.49514563e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  9.15555556e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
  8.00000000e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.80373832e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.40186916e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.27102804e-02
  9.34579439e-03 5.00000000e-01 0.00000000e+00 2.05607477e-01
  2.10280374e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  2.08333333e-02 0.00000000e+00 0.00000000e+00 5.20833333e-03
  0.00000000e+00 0.00000000e+00 8.90625000e-01 5.20833333e-03
  7.29166667e-02 5.20833333e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.96078431e-02
  0.00000000e+00 0.00000000e+00 1.24183007e-01 6.86274510e-01
  1.30718954e-01 3.92156863e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 6.94444444e-03 3.61111111e-01 0.00000000e+00
  5.41666667e-01 9.02777778e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.62096774e-02
  2.01612903e-03 0.00000000e+00 2.41935484e-02 2.41935484e-02
  0.00000000e+00 0.00000000e+00 2.01612903e-03 2.01612903e-03
  6.04838710e-03 0.00000000e+00 2.01612903e-03 8.06451613e-03
  4.23387097e-02 8.60887097e-01]]"
