percentage,metric,value
80,loss,0.5466294524268173
80,accuracy,0.8381249390897574
80,f1_score,0.7846097396745839
80,confusion_matrix,"[[8.00381134e-01 9.14721296e-02 6.81276798e-02 4.76417342e-04
  1.42925202e-03 3.43020486e-02 1.42925202e-03 4.76417342e-04
  9.52834683e-04 4.76417342e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 4.76417342e-04]
 [1.72627563e-01 6.74773486e-01 4.62565570e-02 4.76871722e-04
  0.00000000e+00 1.05388650e-01 4.76871722e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [4.08866995e-02 9.85221675e-03 8.41379310e-01 4.87684729e-02
  1.13300493e-02 2.11822660e-02 2.01970443e-02 4.92610837e-04
  0.00000000e+00 0.00000000e+00 5.41871921e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 4.92610837e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.07029478e-04 0.00000000e+00 7.70975057e-03 8.98412698e-01
  5.44217687e-03 0.00000000e+00 1.63265306e-02 1.54195011e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 9.07029478e-03
  7.70975057e-03 8.61678005e-03 0.00000000e+00 9.97732426e-03
  1.67800454e-02 3.62811791e-03]
 [3.65691489e-03 0.00000000e+00 1.16356383e-02 7.31382979e-03
  9.32180851e-01 2.65957447e-03 1.72872340e-02 4.98670213e-03
  3.98936170e-03 6.64893617e-04 1.46276596e-02 0.00000000e+00
  3.32446809e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
  6.64893617e-04 0.00000000e+00]
 [7.17614166e-02 1.34203169e-01 2.70270270e-02 4.65983225e-04
  2.79589935e-03 7.61416589e-01 2.32991612e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.12866817e-03 0.00000000e+00 6.20767494e-03 1.18510158e-02
  2.25733634e-03 2.25733634e-03 9.55981941e-01 9.02934537e-03
  5.64334086e-04 5.64334086e-04 8.46501129e-03 5.64334086e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.12866817e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 6.01684717e-04 1.44404332e-02
  1.44404332e-02 0.00000000e+00 7.28038508e-02 8.52587244e-01
  3.61010830e-03 2.22623345e-02 3.61010830e-03 1.20336943e-03
  2.40673887e-03 0.00000000e+00 6.01684717e-04 9.02527076e-03
  1.20336943e-03 1.20336943e-03]
 [1.58478605e-03 0.00000000e+00 0.00000000e+00 4.75435816e-03
  6.33914422e-03 0.00000000e+00 4.75435816e-03 7.92393027e-03
  9.66719493e-01 3.16957211e-03 0.00000000e+00 1.58478605e-03
  0.00000000e+00 0.00000000e+00 3.16957211e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.81679389e-03
  2.29007634e-02 0.00000000e+00 1.52671756e-02 5.72519084e-02
  1.90839695e-02 8.66412214e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.14503817e-02 0.00000000e+00
  0.00000000e+00 3.81679389e-03]
 [0.00000000e+00 0.00000000e+00 2.08643815e-02 0.00000000e+00
  4.47093890e-02 5.96125186e-03 8.49478390e-02 1.19225037e-02
  0.00000000e+00 1.93740686e-02 8.10730253e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.49031297e-03
  0.00000000e+00 0.00000000e+00]
 [1.94174757e-03 0.00000000e+00 0.00000000e+00 1.35922330e-02
  1.94174757e-03 0.00000000e+00 0.00000000e+00 3.88349515e-03
  1.94174757e-03 0.00000000e+00 1.94174757e-03 7.51456311e-01
  1.94174757e-03 7.76699029e-03 0.00000000e+00 1.84466019e-01
  2.91262136e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  0.00000000e+00 0.00000000e+00 4.44444444e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.33333333e-02
  9.28888889e-01 4.44444444e-03 4.44444444e-03 0.00000000e+00
  4.00000000e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.67289720e-03
  4.67289720e-03 0.00000000e+00 4.67289720e-03 9.34579439e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.73831776e-02
  9.34579439e-03 4.67289720e-01 0.00000000e+00 2.24299065e-01
  2.38317757e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  2.08333333e-02 5.20833333e-03 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 9.32291667e-01 0.00000000e+00
  3.64583333e-02 5.20833333e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 6.53594771e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  6.53594771e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
  6.53594771e-03 0.00000000e+00 1.17647059e-01 7.32026144e-01
  6.53594771e-02 6.53594771e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 6.94444444e-03 5.27777778e-01 1.38888889e-02
  3.40277778e-01 1.11111111e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20967742e-02
  2.01612903e-03 0.00000000e+00 2.62096774e-02 4.03225806e-03
  2.01612903e-03 0.00000000e+00 4.03225806e-03 2.01612903e-03
  6.04838710e-03 0.00000000e+00 1.00806452e-02 4.03225806e-03
  2.01612903e-02 9.07258065e-01]]"
