percentage,metric,value
30,loss,0.6968267281971635
30,accuracy,0.8292076795633954
30,f1_score,0.7785491693075685
30,confusion_matrix,"[[7.40828966e-01 1.21962839e-01 8.67079562e-02 2.85850405e-03
  1.42925202e-03 4.19247261e-02 1.42925202e-03 1.42925202e-03
  1.42925202e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.38292799e-01 7.41535527e-01 4.76871722e-02 4.76871722e-04
  0.00000000e+00 7.15307582e-02 4.76871722e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.64532020e-02 1.33004926e-02 8.13793103e-01 5.96059113e-02
  1.37931034e-02 1.77339901e-02 3.30049261e-02 4.92610837e-03
  4.92610837e-04 0.00000000e+00 6.40394089e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 4.92610837e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.07029478e-04 0.00000000e+00 3.62811791e-03 8.89342404e-01
  4.08163265e-03 0.00000000e+00 1.72335601e-02 3.62811791e-02
  4.53514739e-04 9.07029478e-04 0.00000000e+00 7.70975057e-03
  6.34920635e-03 9.52380952e-03 4.53514739e-04 8.61678005e-03
  1.22448980e-02 2.26757370e-03]
 [4.32180851e-03 0.00000000e+00 6.98138298e-03 8.64361702e-03
  9.26196809e-01 2.65957447e-03 2.02792553e-02 1.13031915e-02
  3.98936170e-03 6.64893617e-04 1.23005319e-02 9.97340426e-04
  6.64893617e-04 3.32446809e-04 0.00000000e+00 0.00000000e+00
  6.64893617e-04 0.00000000e+00]
 [6.98974837e-02 1.88723206e-01 2.09692451e-02 9.31966449e-04
  2.32991612e-03 7.11556384e-01 5.12581547e-03 0.00000000e+00
  4.65983225e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.12866817e-03 5.64334086e-04 3.38600451e-03 2.08803612e-02
  5.07900677e-03 1.69300226e-03 9.32844244e-01 2.25733634e-02
  5.64334086e-04 0.00000000e+00 1.01580135e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.12866817e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.02286402e-02
  5.41516245e-03 0.00000000e+00 6.01684717e-02 9.03730445e-01
  6.01684717e-04 7.22021661e-03 2.40673887e-03 1.20336943e-03
  1.20336943e-03 0.00000000e+00 1.20336943e-03 6.61853189e-03
  0.00000000e+00 0.00000000e+00]
 [1.58478605e-03 0.00000000e+00 0.00000000e+00 4.75435816e-03
  6.33914422e-03 0.00000000e+00 3.16957211e-03 1.74326466e-02
  9.58795563e-01 0.00000000e+00 0.00000000e+00 1.58478605e-03
  0.00000000e+00 0.00000000e+00 6.33914422e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.63358779e-03
  1.52671756e-02 0.00000000e+00 1.52671756e-02 9.54198473e-02
  1.90839695e-02 8.20610687e-01 1.14503817e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00 7.63358779e-03 7.63358779e-03
  0.00000000e+00 0.00000000e+00]
 [1.49031297e-03 1.49031297e-03 1.78837556e-02 0.00000000e+00
  3.27868852e-02 5.96125186e-03 1.17734724e-01 2.23546945e-02
  1.49031297e-03 1.34128167e-02 7.83904620e-01 1.49031297e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.94174757e-03 1.94174757e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.88349515e-03
  1.94174757e-03 0.00000000e+00 3.88349515e-03 7.94174757e-01
  0.00000000e+00 1.35922330e-02 0.00000000e+00 1.45631068e-01
  1.55339806e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  0.00000000e+00 0.00000000e+00 4.44444444e-03 8.88888889e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  9.51111111e-01 0.00000000e+00 4.44444444e-03 0.00000000e+00
  2.22222222e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.86915888e-02
  4.67289720e-03 0.00000000e+00 0.00000000e+00 2.80373832e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.67289720e-02
  4.67289720e-03 4.48598131e-01 0.00000000e+00 1.96261682e-01
  2.52336449e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.04166667e-02 5.20833333e-03 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 9.37500000e-01 5.20833333e-03
  3.64583333e-02 5.20833333e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 6.53594771e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.57516340e-02
  1.96078431e-02 0.00000000e+00 1.37254902e-01 6.40522876e-01
  8.49673203e-02 6.53594771e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  6.94444444e-03 6.94444444e-03 5.48611111e-01 6.94444444e-03
  3.05555556e-01 1.25000000e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.61290323e-02
  2.01612903e-03 0.00000000e+00 3.62903226e-02 3.02419355e-02
  0.00000000e+00 0.00000000e+00 2.01612903e-03 2.01612903e-03
  4.03225806e-03 0.00000000e+00 2.01612903e-03 1.20967742e-02
  8.06451613e-03 8.85080645e-01]]"
