percentage,metric,value
90,loss,0.5342181525082708
90,accuracy,0.8366630932657636
90,f1_score,0.7804366278833195
90,confusion_matrix,"[[7.69890424e-01 9.95712244e-02 7.05097666e-02 4.76417342e-04
  9.52834683e-04 5.47879943e-02 1.42925202e-03 4.76417342e-04
  9.52834683e-04 4.76417342e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 4.76417342e-04]
 [1.61659514e-01 6.78111588e-01 5.24558894e-02 4.76871722e-04
  4.76871722e-04 1.06342394e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 4.76871722e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.84236453e-02 1.13300493e-02 8.34482759e-01 5.07389163e-02
  1.28078818e-02 2.01970443e-02 2.01970443e-02 2.46305419e-03
  0.00000000e+00 0.00000000e+00 8.86699507e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 4.92610837e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.07029478e-04 0.00000000e+00 5.89569161e-03 8.93877551e-01
  4.98866213e-03 0.00000000e+00 1.22448980e-02 2.44897959e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 8.61678005e-03
  1.08843537e-02 9.07029478e-03 9.07029478e-04 1.45124717e-02
  1.04308390e-02 3.17460317e-03]
 [4.32180851e-03 0.00000000e+00 8.31117021e-03 8.97606383e-03
  9.32845745e-01 6.64893617e-04 1.03058511e-02 1.29654255e-02
  5.65159574e-03 1.99468085e-03 1.29654255e-02 3.32446809e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  6.64893617e-04 0.00000000e+00]
 [6.33737185e-02 1.71015843e-01 1.95712954e-02 4.65983225e-04
  3.26188257e-03 7.40913327e-01 9.31966449e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.65983225e-04
  0.00000000e+00 0.00000000e+00]
 [5.64334086e-04 5.64334086e-04 4.51467269e-03 1.69300226e-02
  2.25733634e-03 1.12866817e-03 9.40180587e-01 2.20090293e-02
  0.00000000e+00 5.64334086e-04 8.46501129e-03 1.12866817e-03
  0.00000000e+00 0.00000000e+00 5.64334086e-04 1.12866817e-03
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 6.01684717e-04 0.00000000e+00 1.02286402e-02
  5.41516245e-03 0.00000000e+00 3.67027677e-02 9.27797834e-01
  0.00000000e+00 9.02527076e-03 1.20336943e-03 1.20336943e-03
  1.20336943e-03 0.00000000e+00 0.00000000e+00 6.01684717e-03
  0.00000000e+00 6.01684717e-04]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.75435816e-03
  6.33914422e-03 0.00000000e+00 3.16957211e-03 1.26782884e-02
  9.68304279e-01 1.58478605e-03 0.00000000e+00 1.58478605e-03
  0.00000000e+00 0.00000000e+00 1.58478605e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.81679389e-03
  1.52671756e-02 0.00000000e+00 7.63358779e-03 9.54198473e-02
  1.90839695e-02 8.43511450e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.52671756e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.49031297e-03 2.08643815e-02 0.00000000e+00
  2.98062593e-02 4.47093890e-03 7.60059613e-02 2.08643815e-02
  0.00000000e+00 1.78837556e-02 8.28614009e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.94174757e-03 0.00000000e+00 0.00000000e+00 1.35922330e-02
  0.00000000e+00 0.00000000e+00 1.94174757e-03 5.82524272e-03
  1.94174757e-03 0.00000000e+00 1.94174757e-03 7.78640777e-01
  0.00000000e+00 7.76699029e-03 0.00000000e+00 1.57281553e-01
  2.91262136e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 8.88888889e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  9.55555556e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
  3.11111111e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.40186916e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.86915888e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.86915888e-02
  1.40186916e-02 3.59813084e-01 0.00000000e+00 2.28971963e-01
  3.45794393e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.56250000e-02 5.20833333e-03 0.00000000e+00 5.20833333e-03
  0.00000000e+00 0.00000000e+00 9.37500000e-01 0.00000000e+00
  3.12500000e-02 5.20833333e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 6.53594771e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.96078431e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 6.53594771e-03
  6.53594771e-03 0.00000000e+00 1.24183007e-01 6.86274510e-01
  5.88235294e-02 9.15032680e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 6.94444444e-03
  0.00000000e+00 6.94444444e-03 5.00000000e-01 1.38888889e-02
  3.40277778e-01 1.31944444e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00806452e-02
  0.00000000e+00 0.00000000e+00 2.62096774e-02 1.41129032e-02
  0.00000000e+00 0.00000000e+00 2.01612903e-03 2.01612903e-03
  6.04838710e-03 0.00000000e+00 6.04838710e-03 4.03225806e-03
  2.62096774e-02 9.03225806e-01]]"
