percentage,metric,value
1,loss,1.6797135605727032
1,accuracy,0.44362147938797386
1,f1_score,0.330754096729533
1,confusion_matrix,"[[3.85898047e-01 4.86898523e-01 1.25297761e-01 0.00000000e+00
  4.76417342e-04 4.76417342e-04 4.76417342e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  4.76417342e-04 0.00000000e+00]
 [1.87410587e-01 7.66809728e-01 4.38721984e-02 9.53743443e-04
  0.00000000e+00 9.53743443e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.50738916e-02 1.28571429e-01 6.67980296e-01 5.41871921e-02
  2.90640394e-02 1.47783251e-03 2.21674877e-02 1.47783251e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [4.53514739e-04 0.00000000e+00 3.80952381e-02 6.18140590e-01
  4.58049887e-02 0.00000000e+00 1.17006803e-01 7.57369615e-02
  0.00000000e+00 6.34920635e-03 7.25623583e-03 1.85941043e-02
  9.97732426e-03 3.17460317e-03 1.36054422e-03 2.44897959e-02
  1.95011338e-02 1.40589569e-02]
 [2.32712766e-03 2.99202128e-03 1.18018617e-01 4.38829787e-02
  4.62101064e-01 2.99202128e-03 8.57712766e-02 9.94015957e-02
  6.64893617e-04 2.26063830e-02 1.22340426e-01 1.62898936e-02
  3.32446809e-03 0.00000000e+00 0.00000000e+00 5.65159574e-03
  9.64095745e-03 1.99468085e-03]
 [1.61230196e-01 4.68313141e-01 2.38583411e-01 0.00000000e+00
  4.65983225e-04 1.30009320e-01 9.31966449e-04 4.65983225e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 2.25733634e-03 8.23927765e-02 2.46613995e-01
  7.16704289e-02 1.69300226e-03 4.51467269e-01 6.32054176e-02
  0.00000000e+00 4.51467269e-03 4.57110609e-02 5.07900677e-03
  3.38600451e-03 2.25733634e-03 0.00000000e+00 9.59367946e-03
  5.07900677e-03 5.07900677e-03]
 [0.00000000e+00 6.01684717e-04 1.56438026e-02 1.74488568e-01
  1.21540313e-01 1.20336943e-03 1.61853189e-01 2.79783394e-01
  6.01684717e-04 2.70758123e-02 1.11311673e-01 3.06859206e-02
  1.74488568e-02 3.61010830e-03 6.01684717e-04 1.86522262e-02
  2.10589651e-02 1.38387485e-02]
 [0.00000000e+00 1.58478605e-03 1.10935024e-02 2.06022187e-02
  2.06022187e-02 0.00000000e+00 1.26782884e-02 1.90174326e-02
  4.53248811e-01 2.06022187e-02 2.37717908e-02 7.44849445e-02
  1.74326466e-02 0.00000000e+00 9.03328051e-02 2.06022187e-02
  1.77496038e-01 3.64500792e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 5.72519084e-02
  1.56488550e-01 0.00000000e+00 1.48854962e-01 3.35877863e-01
  0.00000000e+00 1.52671756e-01 6.10687023e-02 1.90839695e-02
  1.52671756e-02 0.00000000e+00 0.00000000e+00 1.52671756e-02
  3.05343511e-02 7.63358779e-03]
 [0.00000000e+00 1.49031297e-03 6.55737705e-02 6.40834575e-02
  2.30998510e-01 0.00000000e+00 1.84798808e-01 8.19672131e-02
  1.49031297e-03 2.98062593e-03 3.54694486e-01 5.96125186e-03
  1.49031297e-03 0.00000000e+00 0.00000000e+00 1.49031297e-03
  2.98062593e-03 0.00000000e+00]
 [1.94174757e-03 0.00000000e+00 0.00000000e+00 6.60194175e-02
  1.55339806e-02 0.00000000e+00 4.27184466e-02 6.21359223e-02
  3.68932039e-02 9.70873786e-03 1.35922330e-02 3.02912621e-01
  3.49514563e-02 1.74757282e-02 2.71844660e-02 6.60194175e-02
  1.55339806e-01 1.47572816e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 6.66666667e-02
  3.11111111e-02 0.00000000e+00 4.88888889e-02 9.33333333e-02
  8.88888889e-03 5.33333333e-02 3.11111111e-02 1.15555556e-01
  1.33333333e-01 4.00000000e-02 6.22222222e-02 4.88888889e-02
  1.24444444e-01 1.42222222e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.72897196e-01
  1.86915888e-02 0.00000000e+00 8.41121495e-02 1.16822430e-01
  0.00000000e+00 4.67289720e-03 1.40186916e-02 1.68224299e-01
  3.73831776e-02 9.34579439e-03 5.14018692e-02 4.67289720e-02
  1.30841121e-01 1.44859813e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.04166667e-02 0.00000000e+00 0.00000000e+00 1.04166667e-02
  2.81250000e-01 0.00000000e+00 1.04166667e-02 2.60416667e-02
  0.00000000e+00 0.00000000e+00 5.52083333e-01 0.00000000e+00
  5.20833333e-02 5.72916667e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.18954248e-02
  0.00000000e+00 0.00000000e+00 7.84313725e-02 5.22875817e-02
  4.57516340e-02 1.96078431e-02 1.30718954e-02 2.22222222e-01
  1.30718954e-02 2.61437908e-02 3.92156863e-02 7.18954248e-02
  2.22222222e-01 1.24183007e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.08333333e-02
  0.00000000e+00 0.00000000e+00 1.38888889e-02 2.77777778e-02
  1.04166667e-01 1.38888889e-02 6.94444444e-03 9.02777778e-02
  0.00000000e+00 6.94444444e-03 4.23611111e-01 2.77777778e-02
  1.11111111e-01 1.52777778e-01]
 [0.00000000e+00 2.01612903e-03 2.01612903e-03 1.77419355e-01
  6.04838710e-03 0.00000000e+00 8.46774194e-02 7.25806452e-02
  2.82258065e-02 1.00806452e-02 1.20967742e-02 8.26612903e-02
  6.04838710e-03 8.06451613e-03 3.42741935e-02 3.22580645e-02
  1.43145161e-01 2.98387097e-01]]"
