percentage,metric,value
100,loss,0.5522536721883657
100,accuracy,0.841487184484943
100,f1_score,0.7870115924263866
100,confusion_matrix,"[[7.92758456e-01 9.29013816e-02 6.71748452e-02 4.76417342e-04
  9.52834683e-04 4.19247261e-02 1.42925202e-03 9.52834683e-04
  9.52834683e-04 4.76417342e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.57844540e-01 6.62851693e-01 5.38865045e-02 4.76871722e-04
  0.00000000e+00 1.24463519e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.76871722e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.95566502e-02 7.88177340e-03 8.47783251e-01 4.58128079e-02
  1.18226601e-02 2.21674877e-02 2.01970443e-02 5.41871921e-03
  0.00000000e+00 0.00000000e+00 8.37438424e-03 4.92610837e-04
  0.00000000e+00 0.00000000e+00 4.92610837e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.36054422e-03 0.00000000e+00 6.34920635e-03 9.09750567e-01
  4.53514739e-03 4.53514739e-04 8.16326531e-03 1.58730159e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 9.07029478e-03
  6.80272109e-03 8.61678005e-03 0.00000000e+00 8.16326531e-03
  1.76870748e-02 3.17460317e-03]
 [3.65691489e-03 0.00000000e+00 8.97606383e-03 1.09707447e-02
  9.26196809e-01 1.32978723e-03 1.59574468e-02 1.13031915e-02
  5.31914894e-03 1.32978723e-03 1.39627660e-02 6.64893617e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  3.32446809e-04 0.00000000e+00]
 [7.03634669e-02 1.24417521e-01 1.81733458e-02 4.65983225e-04
  2.32991612e-03 7.82385834e-01 1.39794967e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.65983225e-04
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.64334086e-04 5.64334086e-04 4.51467269e-03 2.08803612e-02
  2.25733634e-03 2.25733634e-03 9.46388262e-01 1.52370203e-02
  5.64334086e-04 0.00000000e+00 3.38600451e-03 1.69300226e-03
  5.64334086e-04 0.00000000e+00 0.00000000e+00 1.12866817e-03
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.44404332e-02
  8.42358604e-03 0.00000000e+00 5.17448857e-02 8.91095066e-01
  1.80505415e-03 1.08303249e-02 6.01684717e-03 2.40673887e-03
  6.01684717e-04 0.00000000e+00 1.80505415e-03 8.42358604e-03
  1.80505415e-03 6.01684717e-04]
 [1.58478605e-03 0.00000000e+00 0.00000000e+00 4.75435816e-03
  6.33914422e-03 0.00000000e+00 1.58478605e-03 1.10935024e-02
  9.66719493e-01 0.00000000e+00 0.00000000e+00 3.16957211e-03
  0.00000000e+00 0.00000000e+00 3.16957211e-03 1.58478605e-03
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.81679389e-03
  1.52671756e-02 0.00000000e+00 1.14503817e-02 9.16030534e-02
  1.90839695e-02 8.32061069e-01 7.63358779e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.14503817e-02 3.81679389e-03
  0.00000000e+00 3.81679389e-03]
 [1.49031297e-03 0.00000000e+00 2.08643815e-02 0.00000000e+00
  2.68256334e-02 5.96125186e-03 1.08792846e-01 1.49031297e-02
  0.00000000e+00 8.94187779e-03 8.12220566e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.94174757e-03 0.00000000e+00 0.00000000e+00 1.55339806e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.88349515e-03
  1.94174757e-03 0.00000000e+00 1.94174757e-03 7.86407767e-01
  0.00000000e+00 1.16504854e-02 0.00000000e+00 1.66990291e-01
  9.70873786e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 4.44444444e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.33333333e-02
  9.33333333e-01 4.44444444e-03 1.33333333e-02 0.00000000e+00
  2.66666667e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.86915888e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.86915888e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 2.33644860e-02
  9.34579439e-03 4.43925234e-01 0.00000000e+00 2.19626168e-01
  2.66355140e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.04166667e-02 5.20833333e-03 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 9.37500000e-01 5.20833333e-03
  3.64583333e-02 5.20833333e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 6.53594771e-03
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.30718954e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.30718954e-02 0.00000000e+00 1.24183007e-01 7.18954248e-01
  7.18954248e-02 5.22875817e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 6.94444444e-03
  0.00000000e+00 6.94444444e-03 4.86111111e-01 4.16666667e-02
  3.19444444e-01 1.38888889e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.41129032e-02
  0.00000000e+00 0.00000000e+00 2.01612903e-02 1.61290323e-02
  0.00000000e+00 0.00000000e+00 2.01612903e-03 2.01612903e-03
  4.03225806e-03 2.01612903e-03 8.06451613e-03 1.00806452e-02
  2.21774194e-02 8.99193548e-01]]"
