Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.13423323805130405,0.9602393119780631,0.9560365289913487,0.9602179158240347,9
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl,val,0.34225892495083554,0.8870967741935484,0.8591269244328235,0.8914992566841625,9
motionsense,kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.12889519310355807,0.9636324968098682,0.9595187473274095,0.9634643163771476,9
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.019588470042251477,0.9937679172379409,0.9931814044403526,0.9937694083578527,33
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl,val,0.3076085082946285,0.9150537634408602,0.8823766575540946,0.9158693146994317,33
motionsense,motionsense_k_28_lr_0.0005_bs_64.pkl,test,0.11762448414532398,0.9740535942152275,0.9700239439503231,0.973952689077237,33
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.002939662773050224,0.9990028667580706,0.998912842776576,0.9990028582059783,139
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,0.35055157606319715,0.9365591397849462,0.9164655974728495,0.9354368948585015,139
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.20061858582038364,0.9674606550404083,0.9598882304217605,0.9673496535471242,139
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.032577974890309065,0.98575134403549,0.9857477380505021,0.9857473893405408,106
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl,val,0.7562946374101834,0.8423250957187609,0.8426430298527391,0.8426766625552339,106
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl,test,0.7002127610984471,0.8650904033379694,0.864316227093272,0.8643300051324898,106
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.24733929667749888,0.922360883797054,0.9229453803985063,0.922406187116301,4
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl,val,0.8237037244507868,0.7359171504785815,0.7388626263912293,0.7391979373339884,4
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.7763663396211801,0.7777777777777778,0.7727307157809872,0.7702947213709012,4
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl,train,0.005704320613712331,0.9981504112032236,0.9981505960581986,0.9981504166097118,89
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl,val,1.3225919424559884,0.7961363279409455,0.7952296753008895,0.7961923545504535,89
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl,test,1.587077673108237,0.8022085889570553,0.7827648746902125,0.7961941615889567,89
wisdm,uci_k_28_lr_0.0005_bs_64.pkl,train,0.022963137472213454,0.9893980976728448,0.9893993061369679,0.9893978969238123,103
wisdm,uci_k_28_lr_0.0005_bs_64.pkl,val,0.7545992959014556,0.8649495301079011,0.8648114848772119,0.8648120164893627,103
wisdm,uci_k_28_lr_0.0005_bs_64.pkl,test,1.0237116821497427,0.827538247566064,0.8267554270075349,0.8267776198014024,103
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.007991678324643772,0.9970709211018323,0.9966655371346967,0.9970705124321473,57
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,0.2950495582113984,0.928494623655914,0.9059643375180909,0.9280630738961898,57
motionsense,realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,0.19062479259852383,0.9629944704381115,0.9540279076598249,0.962754511478571,57
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.04449516986698719,0.9864144107879642,0.9917744444728754,0.9864163803248642,60
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl,val,1.5742969652404544,0.7164708490356906,0.7327484718926329,0.7222210088485842,60
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl,test,0.33723058359392083,0.9324065196548418,0.8922023860181847,0.9330959765578025,60
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.04637005600298124,0.9867163127704539,0.9915500446639799,0.9867171590484971,92
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,2.243692993546267,0.6506317889603193,0.7004886435801897,0.6533677291828708,92
