percentage,metric,value
10,loss,0.28072728927473767
10,accuracy,0.9131756756756757
10,f1_score,0.9134540939320205
10,confusion_matrix,"[[9.46411483e-01 3.92344498e-02 1.05263158e-02 0.00000000e+00
  1.91387560e-03 1.91387560e-03]
 [3.37323177e-02 9.29270947e-01 3.37323177e-02 0.00000000e+00
  3.26441785e-03 0.00000000e+00]
 [4.05561993e-02 2.08574739e-02 9.38586327e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [6.07287449e-03 1.01214575e-03 0.00000000e+00 9.29149798e-01
  6.27530364e-02 1.01214575e-03]
 [5.62324274e-03 1.31208997e-02 5.62324274e-03 2.27741331e-01
  7.47891284e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 9.63391137e-04
  0.00000000e+00 9.99036609e-01]]"
