percentage,metric,value
70,loss,0.2527287963274363
70,accuracy,0.910472972972973
70,f1_score,0.9107191428010734
70,confusion_matrix,"[[9.90430622e-01 6.69856459e-03 1.91387560e-03 0.00000000e+00
  0.00000000e+00 9.56937799e-04]
 [7.72578890e-02 8.97714908e-01 2.06746464e-02 0.00000000e+00
  4.35255713e-03 0.00000000e+00]
 [6.60486674e-02 2.08574739e-02 9.13093859e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [4.04858300e-03 7.08502024e-03 0.00000000e+00 9.39271255e-01
  3.94736842e-02 1.01214575e-02]
 [3.74882849e-03 5.62324274e-03 4.68603561e-03 2.56794752e-01
  7.29147142e-01 0.00000000e+00]
 [0.00000000e+00 9.63391137e-04 0.00000000e+00 9.63391137e-04
  0.00000000e+00 9.98073218e-01]]"
