percentage,metric,value
30,loss,0.2421627309072662
30,accuracy,0.9152027027027027
30,f1_score,0.9154921380231286
30,confusion_matrix,"[[9.80861244e-01 9.56937799e-03 7.65550239e-03 0.00000000e+00
  0.00000000e+00 1.91387560e-03]
 [4.89662677e-02 9.11860718e-01 3.37323177e-02 0.00000000e+00
  5.44069641e-03 0.00000000e+00]
 [3.93974508e-02 1.85399768e-02 9.42062572e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.06072874e-03 5.06072874e-03 0.00000000e+00 9.07894737e-01
  6.78137652e-02 1.41700405e-02]
 [2.81162137e-03 1.12464855e-02 4.68603561e-03 2.23055295e-01
  7.58200562e-01 0.00000000e+00]
 [0.00000000e+00 9.63391137e-04 0.00000000e+00 9.63391137e-04
  0.00000000e+00 9.98073218e-01]]"
