percentage,metric,value
30,loss,0.3590292642575107
30,accuracy,0.839695945945946
30,f1_score,0.8377927608780436
30,confusion_matrix,"[[8.49760766e-01 5.45454545e-02 9.28229665e-02 9.56937799e-04
  1.91387560e-03 0.00000000e+00]
 [1.53427639e-01 7.46463547e-01 9.14036997e-02 3.26441785e-03
  5.44069641e-03 0.00000000e+00]
 [9.15411356e-02 1.85399768e-02 8.89918888e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.01214575e-03 2.12550607e-02 3.03643725e-03 8.99797571e-01
  7.48987854e-02 0.00000000e+00]
 [1.12464855e-02 1.21836926e-02 3.74882849e-03 3.13964386e-01
  6.58856607e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 9.63391137e-04 0.00000000e+00
  0.00000000e+00 9.99036609e-01]]"
