percentage,metric,value
5,loss,0.2863013170860909
5,accuracy,0.9035472972972973
5,f1_score,0.9036736467013294
5,confusion_matrix,"[[9.43540670e-01 4.01913876e-02 1.43540670e-02 0.00000000e+00
  0.00000000e+00 1.91387560e-03]
 [3.59085963e-02 9.34711643e-01 2.72034820e-02 1.08813928e-03
  1.08813928e-03 0.00000000e+00]
 [5.33024334e-02 3.01274623e-02 9.16570104e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.10931174e-03 3.03643725e-03 1.01214575e-03 9.22064777e-01
  5.87044534e-02 6.07287449e-03]
 [4.68603561e-03 1.40581068e-02 4.68603561e-03 2.57731959e-01
  7.18837863e-01 0.00000000e+00]
 [0.00000000e+00 9.63391137e-04 9.63391137e-04 9.63391137e-04
  0.00000000e+00 9.97109827e-01]]"
