Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
UCI_raw,MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.0277996002897708,0.9880236686390532,0.9886113853970976,0.988023656146933,101
UCI_raw,MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.5072464429907894,0.919917864476386,0.919067914879912,0.9194782492004024,101
UCI_raw,MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.9811036013570186,0.8532094594594595,0.8528524754918895,0.8510093802135007,101
UCI_raw_g,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.0347146287832034,0.9865562130177514,0.986378981328846,0.9865550244691116,106
UCI_raw_g,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.5341183557484266,0.8730321697467488,0.869315691049135,0.8721288114496973,106
UCI_raw_g,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.6085929496868236,0.8766891891891891,0.8752515942626603,0.8765389594104934,106
UCI_raw,UCI_MotionSense_KuHar_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.1313493000050268,0.9530414201183433,0.953810077144156,0.9529925262835716,4
UCI_raw,UCI_MotionSense_KuHar_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.1822914780614149,0.9442162902121836,0.944002064601286,0.9437613245422248,4
UCI_raw,UCI_MotionSense_KuHar_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.2419403146046239,0.9216216216216216,0.9219744154534908,0.921017642772285,4
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.053631659446207,0.9790769230769232,0.9788108608531672,0.979079927007875,93
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.7042240583268361,0.8699520876112252,0.8666887035920944,0.8678721188180726,93
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.6175567625744923,0.8550675675675675,0.8532717130725814,0.8529079672560231,93
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.053631659446207,0.9790769230769232,0.9788108608531672,0.979079927007875,93
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.7042240583268361,0.8699520876112252,0.8666887035920944,0.8678721188180726,93
UCI_raw_g,UCI_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.6175567625744923,0.8550675675675675,0.8532717130725814,0.8529079672560231,93
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.1046701163212223,0.962224852071006,0.9623705720117084,0.9622084854369044,12
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.2594143243622567,0.9127310061601642,0.9104738880303046,0.9120192156209568,12
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.461150907503592,0.858277027027027,0.8569760126492866,0.8571362651758595,12
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,train,0.1046701163212223,0.962224852071006,0.9623705720117084,0.9622084854369044,12
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,val,0.2594143243622567,0.9127310061601642,0.9104738880303046,0.9120192156209568,12
UCI_raw,KuHar_MotionSense_RealWorld_k_28_lr_0.0005_bs_64.pkl,test,0.461150907503592,0.858277027027027,0.8569760126492866,0.8571362651758595,12
MotionSense_raw,UCI_MotionSense_k_28_lr_0.0005_bs_64.pkl,train,0.0127414200306889,0.99521268638109,0.9953058996675572,0.9952118391883484,76
MotionSense_raw,UCI_MotionSense_k_28_lr_0.0005_bs_64.pkl,val,1.0533102667774323,0.8073118279569892,0.7854720078140719,0.8128161793073898,76
MotionSense_raw,UCI_MotionSense_k_28_lr_0.0005_bs_64.pkl,test,0.5993840535504036,0.912965798876978,0.9063615573764342,0.913717417901147,76
KuHar_raw,RealWorld_raw_k_28_lr_0.0005_bs_64.pkl,train,0.4598910045189322,0.8255544094894275,0.8531567701583673,0.8259952343647073,65
KuHar_raw,RealWorld_raw_k_28_lr_0.0005_bs_64.pkl,val,0.8474934253790145,0.7481206046398836,0.7415879662677481,0.7494457706678208,65
KuHar_raw,RealWorld_raw_k_28_lr_0.0005_bs_64.pkl,test,0.8137747002592178,0.7372088490400546,0.6811604634090682,0.741218261954429,65
MotionSense_raw,MotionSense_raw_k_28_lr_0.0005_bs_64.pkl,train,0.0737583449258356,0.9709769111853588,0.9725803029486652,0.9709668475512178,53
MotionSense_raw,MotionSense_raw_k_28_lr_0.0005_bs_64.pkl,val,1.1483128389523876,0.738494623655914,0.7297338527517266,0.7436028483610335,53
MotionSense_raw,MotionSense_raw_k_28_lr_0.0005_bs_64.pkl,test,0.4132878931592494,0.9072656117066532,0.905817206765664,0.9078463551630916,53
UCI_raw_12,UKM_k_28_lr_0.0005_bs_64.pkl,train,0.0678435180622249,0.9737848882705852,0.9387874170629368,0.9736035699278484,93
UCI_raw_12,UKM_k_28_lr_0.0005_bs_64.pkl,val,0.7330036711045909,0.8726474278544541,0.7540067836257195,0.8707130368706735,93
UCI_raw_12,UKM_k_28_lr_0.0005_bs_64.pkl,test,0.7649932564151402,0.8430071009570855,0.6860259692382368,0.8433935956189778,93
